GeneID,717c Control_A_Shoot tip_1,717c Control_A_Shoot tip_2,717c Control_A_Shoot tip_3,717c Control A_Axillary bud_1,717c Control A_Axillary bud_2,717c Control A_Axillary bud_3,IAA7-52_shoot tip_2,IAA7-52_shoot tip_3,IAA7-52_axillary bud_2,IAA7-52_axillary bud_3,IAA7-54_shoot tip_1,IAA7-54_shoot tip_2,IAA7-54_shoot tip_3,IAA7-54_axillary bud_1,IAA7-54_axillary bud_3
Potri.009G116400,1829.67,1777.02,1487.27,1286.15,1142.88,1304.51,2556.3,2604.8,3449.07,3522.59,2001.01,2316.34,1841.55,4640.03,3149.29
Potri.010G013400,671.52,632.88,650.91,1341.58,1331.68,1464.46,1492.13,2019.85,1708.2,1714.2,654.93,1019.54,1404.3,2554.39,2215.99
Potri.013G139900,307.27,329.35,1040.86,239.55,148.93,221.86,1490.51,1914.37,360.33,195.98,556.8,226.49,836.92,248.9,209.9
Potri.011G074100,101.91,90.65,588.07,94,53.32,62.36,1058.65,1879.2,140.57,101.12,270.18,114.75,425.09,144.57,111.6
Potri.005G239300,1820.71,1505.49,1555.73,791.77,795.27,744.92,1549.78,1646.67,564.58,474.91,2336.14,2160.07,3275.32,568.21,914.72
Potri.004G015300,442.7,255.94,230.97,1298.17,1299.81,1287.15,525.99,1427.76,2657.98,2138.15,775.06,990.26,1480.98,1667.84,2609.5
Potri.011G079500,1104.02,809.21,726.99,867.14,858.49,825.57,1022.47,1390.56,622.8,505.98,1110.12,1136.42,2087.92,472.91,682.61
Potri.010G150500,2540.5,1903.43,1970.17,823.54,479.69,447.48,1724.48,1349.42,633.96,519.28,1793.47,1262.49,880.9,103.13,694.92
Potri.008G074600,208.2,111.61,116.44,462.1,461.22,424.48,1549.02,1303.35,306.4,248.27,260.05,512.32,524.85,339.67,330.75
Potri.006G130900,582.43,601.77,598.23,674.19,651.68,710.55,980.25,1201.02,874.24,928.6,615.57,827.13,873.56,1538.52,1296.02
Potri.017G108800,411.04,428.84,397.28,183.26,165.38,152.29,2046.17,994.06,126.2,100.21,595.11,721.39,852.15,25.5,67.05
Potri.004G078000,341.11,350.17,358.18,594.96,545.24,640.21,777.53,935.22,1046.01,1206.81,456.56,490.41,528.88,1991.88,1084.26
Potri.011G134700,160.43,143.46,169.1,519.26,417.18,498.12,716.55,857.28,1051.26,1171.4,158.65,224.97,279.92,1812.65,879.4
Potri.001G295900,675.7,620.83,610.01,343.84,368.8,353.01,693.59,834.49,329.54,321.01,727.1,815.28,729.96,441.04,469.42
Potri.016G115200,275.27,192.95,193.84,285.17,245.45,277.05,431,824.71,412.7,313.73,251.4,342.79,666.55,364.03,368.14
Potri.007G026200,398.82,334.34,269.35,1320.27,1318.45,1260.85,530.97,812.68,2262.18,1947.41,370.3,584.55,791.12,1939.14,1482.8
Potri.002G015100,1492.39,1033.05,1159.67,809.66,526.16,606.13,765.6,790.53,1506.75,1212,543.77,547.89,592.65,804.83,886.76
Potri.009G085100,861.91,1006.52,1218.52,1000.89,1047.4,1095.04,721.63,783.9,737.45,724.48,1000.66,1184.1,1116.68,410.25,744.32
Potri.004G047100,43.14,25.28,41.12,773.17,674.62,809.97,368.63,763,1563.58,1509.9,66.64,228.7,288.31,1664.2,990.89
Potri.009G030800,408.13,345.81,210.22,551.26,324.54,450.8,299.43,759.87,874.24,726.55,432.84,525.98,1058.93,365.76,1184.62
Potri.002G221400,688.99,599.27,593.2,601.71,531.19,599.2,564.7,758.91,568.19,502.85,681.3,766.19,1308.22,332.08,514.57
Potri.018G016900,249.57,191.34,189.07,235.55,193.72,213.82,635.91,736.21,359,432.85,241.95,222.64,349.45,409.08,428.52
Potri.004G155300,236.11,191.09,173.86,400.2,309.55,381.01,545.51,730.42,1629.38,1693.48,217.25,299.96,298.9,2493.39,1156.07
Potri.003G052500,348.32,296.04,312.6,315.66,280.19,282.62,519.73,726.94,253.7,211.53,439.28,429.36,696.98,202.47,255.57
Potri.005G232700,484.62,376.41,382.88,866.05,763.96,777.05,568.59,709.87,781.59,625.62,570.68,420.34,636.98,624.38,805.39
Potri.010G150700,288.23,230.37,280.55,441.82,264.99,356.68,701.52,701.09,516.82,447.57,190.72,243.81,252.62,351.96,581.75
Potri.014G175600,245.33,186.19,175.66,326.57,303.5,317.33,434.72,695.53,378.18,326.96,313.17,305.88,578.25,262.68,292.37
Potri.007G014200,21.83,13.57,14.1,763.58,801.39,793.37,491.32,692.55,1998.21,1808.24,89.3,91.23,227.28,1829.71,1200.16
Potri.010G091000,981.98,1056.12,1106.52,406.69,372.36,403.39,680.87,691.18,390.27,420.7,986.32,970.49,680.2,537.75,495.53
Potri.014G172400,355.87,242.6,262.84,329.18,272.96,309.55,431.12,687.34,337.15,315.5,362.56,373.21,883.51,235.4,299.13
Potri.008G131200,279.88,179.78,122.3,10.72,3.01,4.11,433.31,686.86,22.63,79.98,165.29,293.26,189.75,3,16.72
Potri.007G096700,341.44,299.94,268.33,488.91,497.73,517.79,587.01,656.39,687.41,684.49,438.81,432.3,417.64,823.91,558.56
Potri.006G110200,81.52,72.03,76.14,305.05,248.86,323.42,491.41,654.67,780.56,959.1,100.33,137.66,241.72,1896.57,793.71
Potri.003G222700,235.62,234.51,217.64,989.18,919.96,1081.13,884.19,645.5,1810.59,2140.8,314.48,396.66,407.71,3181.05,1610.57
Potri.001G071100,771.06,794.16,735.82,558.2,570.67,581.67,635.68,615.08,351.08,362.23,845.66,855.54,696.81,394.2,512.9
Potri.001G066400,145.93,78.19,91.11,181.4,163.96,159.15,419.38,591.11,298.97,233.85,109.99,169.31,240.51,270.72,217.82
Potri.006G099500,417.29,307.14,319.59,195.01,167.08,173.75,431.13,586.38,199.99,175.47,426.08,382.38,737.13,150.18,194.3
Potri.010G243100,202.91,178.37,172.77,514.76,475.07,560.77,451.49,577.48,796.07,829.23,190.48,242.45,334.97,1061.66,754.98
Potri.014G019500,169.04,174.85,184.96,318,243.14,328.12,371.73,571.35,1010.24,1073.06,160.17,165.33,215.62,1383.69,892.45
Potri.015G106500,649.52,636.21,625.45,343,336.13,352.09,532.23,568.46,322.93,300.76,608.41,639.15,488.32,339.47,363.09
